All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_embed_tags,num_external_form_actions,num_object_tags
0,0,0,0,1,1,0,0,0,0,1,56,0.4468987477660279,47.651178186989675,0.09418567495945335,4.069435534802305,3.1873464980012036,174,40,252,0,0,5,0.09050538805428335,0.004266483583846211,0.000980800823872692,0.0001226001029840865,0.00617904519039796,0.0,0.0,137,0,0,4,0,2,6,0,0,0,0,0,0,0,0,6,Cluster - Window & Tab Manager,,,
0,0,0,0,0,1,1,0,0,0,1,30,0.5432026025905663,47.01443325421772,0.0871266625249671,3.8914815406744445,2.894697208462246,99,9,21,0,0,0,0.06765222950295668,0.0063506318557957535,0.0005773301687087048,0.0,0.001347103726986978,0.0,0.0,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0,7,__MSG_name__,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_ext_name__,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Minimalist Snow Water,,,
0,1,0,0,0,1,0,0,0,0,0,44,0.4745980558931351,52.09040526498095,0.07885886041119991,4.602674767424216,2.936838161021465,591,21,96,0,0,0,0.07928587269904636,0.007873491247235619,0.00027976872452106257,0.0,0.0012789427406677146,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_extName__,,,
1,1,0,0,0,1,0,1,0,0,1,27,0.3783898419925739,46.229312,0.10516437650757514,4.345925760345032,3.181382406950405,116,11,13,0,0,1,0.07225414524463847,0.007424,0.000704,6.4e-05,0.000832,0.0,0.0,36,0,0,4,0,8,20,0,5,0,0,0,0,0,0,20,__MSG_extName__,,,
0,0,0,0,0,1,0,0,0,0,0,4,0.3108430626330388,28.76391554702495,0.07985551183641876,6.0048,2.8996131307375155,49,0,0,0,0,0,0.0168,0.09404990403071017,0.0,0.0,0.0,0.0,0.0,1,0,0,5,1,0,2,0,0,0,0,0,0,1,0,2,__MSG_lime_start_page__,,,
0,0,1,0,0,1,0,0,0,0,1,68,0.3548371077435761,58.59492997235238,0.08455281542507719,5.290042657146428,2.972760904045718,462,102,59,0,0,2,0.05534817805173093,0.0059968068950299195,0.001323970353448164,2.5960203008787527e-05,0.0007658259887592321,0.0,0.0,19,0,0,1,0,1,19,0,0,0,0,0,0,0,0,19,Check My Links,,,
0,1,0,0,1,1,0,0,0,0,0,19,0.43979603513688487,43.045114902016074,0.09494033019453005,4.221638106792027,2.834674844901151,189,22,26,0,0,3,0.06455037153111257,0.006661497250810658,0.0007754123784012406,0.00010573805160016917,0.0009163964472014663,0.0,0.0,46,1,0,25,2,3,38,0,2,0,0,0,0,2,0,38,GMB Crush - GBP Audits for Quick Local SEO Insights,,,
0,1,0,0,0,1,0,0,0,0,0,52,0.5044450697499915,24.250597480891376,0.09462763054674443,3.166148426896417,2.6789264952789402,71,142,12,0,0,1,0.05729537851173643,0.0007643449241037787,0.0015286898482075573,1.0765421466250403e-05,0.00012918505759500483,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JONI,,,
0,1,0,0,0,1,1,0,0,0,0,14,0.5991368313720594,47.65970028351559,0.07820083028997721,3.3283179381339507,2.4148144661433157,73,1,24,0,0,0,0.03138607132969218,0.0014783313082219521,2.025111381125962e-05,0.0,0.0004860267314702309,0.0,0.0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_extensionName__,,,
0,0,0,0,0,1,0,0,0,0,0,5,0.41837218490715133,15.319148936170214,0.10869221651521138,5.623541349568747,3.343577970202742,19,8,22,0,0,2,0.1050228310502283,0.012250161186331399,0.0051579626047711154,0.0012894906511927789,0.014184397163120567,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Сайдекс-сканер цен,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fuwamoco Color,,,
0,0,0,0,0,0,0,0,0,0,0,12,0.5252563184461949,38.677408177408175,0.08652821686199849,3.7718295739348373,2.311275310150888,20,3,9,0,0,0,0.037092731829573934,0.00693000693000693,0.0010395010395010396,0.0,0.0031185031185031187,0.0,0.0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Phone and Email Finder by Nymeria,,,
0,0,0,0,0,1,0,0,0,0,0,12,0.4061694965648328,30.581019450033534,0.10643602731143746,3.5143433315771304,2.9991291774563007,14,1,21,0,0,0,0.05788201951201788,0.0009389671361502347,6.70690811535882e-05,0.0,0.0014084507042253522,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_app_name__,,,
0,1,0,0,0,1,0,0,0,0,0,95,0.49442091229522667,44.24870534828886,0.08326833752366573,3.994280201589946,2.8223050832518917,275,70,89,0,0,0,0.05206598064230437,0.003030035919698539,0.000771281870468719,0.0,0.0009806298067388,0.0,0.0,9,1,1,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_name__,,,
0,1,0,0,0,1,0,0,0,0,0,39,0.0382805646323289,541.9899513908746,0.03213192182147003,115.42839249961145,2.9572931080480607,197,6,90,0,0,3,0.12933233376911896,0.0040235284506351865,0.00012254401372492954,6.127200686246477e-05,0.001838160205873943,0.0,0.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Glif: Remix the web with AI,,,
1,1,1,0,1,1,0,0,0,0,1,8,0.3545054806336917,30.398282694848085,0.07988470682291557,6.6783704100777275,3.1917325799284226,31,2,11,0,1,0,0.06191369606003752,0.02047556142668428,0.001321003963011889,0.0,0.00726552179656539,0.0006605019815059445,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Seedr,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_appName__,,,
