All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_external_form_actions,num_object_tags,num_embed_tags
0,0,0,0,1,1,0,0,0,0,1,5,0.4587405970572929,35.91137693180826,0.07815678667739036,5.347375148891665,3.126949509566784,84,15,10,0,0,0,0.061590308242061534,0.007334322884833668,0.0013097005151488693,0.0,0.0008731336767659128,0.0,0.0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_app_name__,,,
0,0,0,0,0,1,0,0,0,0,1,7,0.38026010395921644,66.47677649861056,0.07072992078037071,6.173335269769806,3.121832721629013,39,9,15,0,0,7,0.045058456176022076,0.007741167129813418,0.0017864231838030965,0.001389440254069075,0.0029773719730051607,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_game_name__,,,
0,0,0,0,0,0,0,0,0,0,1,4,0.5006228287270301,65.44682245031666,0.06500425627019263,6.293585990859138,2.341041718139687,31,8,6,0,0,3,0.03784727571509269,0.006770037126010046,0.0017471063550993666,0.0006551648831622625,0.001310329766324525,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_name__,,,
0,0,0,0,0,1,0,0,0,0,0,2,0.3371724995702426,33.995753715498935,0.08559756504504869,7.246174678402166,3.4830059513774243,75,14,17,0,0,0,0.04197698036560596,0.02653927813163482,0.004953998584571833,0.0,0.006015569709837226,0.0,0.0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,2,Return Dislike for Youtube™,,,
0,1,0,0,0,0,0,0,0,0,1,73,0.5079455938654817,58.258702342536154,0.0819424898992522,3.6591928011570714,2.6517942676639024,82,50,41,0,0,3,0.05726194498569019,0.0006125253973945261,0.000373491095972272,2.2409465758336323e-05,0.00030626269869726304,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,inToken wallet,,,
0,0,1,1,0,0,0,0,0,0,0,7,0.2996584474678589,47.664549972390944,0.09451700386941574,4.703651115618661,3.29189225598668,57,28,25,0,0,0,0.05005070993914807,0.015737161789066815,0.007730535615681944,0.0,0.006902263942573164,0.0,0.0,12,0,0,1,0,1,8,0,0,0,0,0,0,0,0,8,One Punch Man 2 Wallpapers HD New Tab,,,
0,0,0,0,0,0,0,0,0,0,0,1,0.21969580580734369,31.87878787878788,0.09248732524197266,6.998336106489185,3.851136963613381,16,2,4,0,0,0,0.019966722129783693,0.08080808080808081,0.010101010101010102,0.0,0.020202020202020204,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Ledger AI Quiz,,,
0,0,0,0,0,1,0,0,0,0,1,62,0.4602882019565726,37.04549547014799,0.10058004979250657,3.5793702202348614,2.9258316906385087,709,12,60,0,0,2,0.0462757880953376,0.009974115131393844,0.00016881436047493106,2.8135726745821844e-05,0.0008440718023746554,0.0,0.0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,PancakeSwap,,,
0,0,0,0,0,1,0,0,0,0,1,27,0.5636006930670838,34.73528133462606,0.06143953625878496,3.7882568683482214,2.905660057530283,33,1,40,0,0,4,0.075129941723106,0.0011032730433619738,3.343251646551436e-05,0.00013373006586205743,0.0013373006586205743,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Browser Game in CrossyRoad-style,,,
0,0,1,1,0,1,0,1,1,0,0,28,0.3721476879498463,40.23000490677134,0.11079571658528893,4.241646118527336,3.03392942015316,108,13,13,0,0,3,0.06785137318255251,0.01324828263002944,0.0015947006869479882,0.00036800785083415113,0.0015947006869479882,0.0,0.0,25,0,15,2,0,0,15,0,0,0,1,0,0,0,0,15,Inferno Climber Reborn Wallpapers,,,
0,0,0,0,0,0,0,0,0,0,1,23,0.5238079900860112,51.85440985732814,0.08568606520165396,3.64396077324679,2.7979404096045597,160,23,36,0,0,4,0.043759700860730916,0.01297016861219196,0.0018644617380025941,0.00032425421530479895,0.0029182879377431907,0.0,0.0,0,0,0,2,1,0,3,0,0,0,2,0,0,1,0,2,Slope Unblocked for Chrome - Online [2022],,,
0,0,0,0,0,1,0,0,0,0,0,17,0.5290122122803307,43.3903969792836,0.09073457601868626,3.6317024894054355,2.772791708071068,72,3,47,0,0,0,0.051450249955591644,0.0036738442698234512,0.00015307684457597714,0.0,0.0023982038983569754,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Media Pro Player,,,
0,0,0,0,0,1,0,1,1,0,0,27,0.3686564828147499,40.56081696370496,0.11443999248732235,4.189285609848817,3.2044740113924415,101,11,9,0,0,2,0.06787145071205077,0.013139065955509302,0.0014309873812930923,0.0002601795238714713,0.001170807857421621,0.0,0.0,24,0,9,1,0,0,14,0,0,0,1,0,0,0,0,14,Mirror's Edge Catalyst Wallpapers New Tab,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.1568627450980392,31.31578947368421,0.09640522875816994,6.5396825396825395,3.5065982621740974,1,0,0,0,0,0,0.031746031746031744,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_name__,,,
0,0,0,0,0,1,0,0,0,0,0,26,0.5603257869447834,44.303630363036305,0.07919154898265371,3.677673568911616,2.595860395324389,123,9,38,0,0,0,0.02923708408814694,0.003499487879822465,0.00025606008876749743,0.0,0.0010811425970183226,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Getting Files,,,
0,0,0,0,0,0,0,0,0,0,1,8,0.455195507034248,35.314368215603444,0.0730960998724794,5.417997737339649,2.5264489573566564,81,15,6,0,0,0,0.07280780809572204,0.004331319180792471,0.0008020961445911984,0.0,0.00032083845783647933,0.0,0.0,13,0,0,3,0,0,7,0,0,0,0,0,0,0,0,7,__MSG_app_name__,,,
0,0,0,0,0,1,0,0,0,0,0,0,0.22716346153846154,23.529411764705884,0.11057692307692307,6.160493827160494,3.2846812112354726,1,0,0,0,0,0,0.04938271604938271,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_name__,,,
0,0,1,1,0,0,0,0,0,0,0,23,0.39477183781290015,64.803662016487,0.08521435790198957,5.012122344899403,2.450598900669979,211,34,156,0,1,1,0.04567907827456844,0.008362396956246037,0.0013474952441344325,3.9632213062777425e-05,0.006182625237793279,3.9632213062777425e-05,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_name__,,,
0,0,0,0,1,1,0,0,0,0,0,5,0.3376089732911322,48.35943617854346,0.09681667102956458,5.5383563984281565,3.537909589365384,87,3,4,0,0,0,0.06727319323423885,0.017032106499608457,0.0005873140172278779,0.0,0.0007830853563038371,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,start dark,,,
0,0,1,1,1,1,0,0,0,0,1,1,0.3178628028073353,40.679245283018865,0.13289563051845144,4.371900826446281,3.6653707545282526,0,0,0,0,0,1,0.0371900826446281,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quick Superweb,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,Facetune2 [2021] - Selfie Editor,,,
0,0,0,0,0,0,0,0,0,0,0,10,0.2894624230348854,79.67905442550853,0.1422427068825006,4.085191873589165,2.684379409370409,82,34,10,0,0,0,0.04348758465011287,0.009015942825728422,0.003738317757009346,0.0,0.0010995052226498076,0.0,0.0,7,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,Enjin: NFT & ERC-20 Wallet,,,
0,1,0,0,0,1,0,0,0,0,0,0,0.4642008195830816,43.57501210653753,0.11208428755806829,3.77493933674845,2.4869874080415837,84,7,8,0,0,0,0.06079805877595039,0.008135593220338983,0.0006779661016949153,0.0,0.000774818401937046,0.0,0.0,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_extName__,,,
0,0,1,1,0,1,0,1,1,0,0,28,0.3721476879498463,40.23000490677134,0.11079571658528893,4.241646118527336,3.03392942015316,108,13,13,0,0,3,0.06785137318255251,0.01324828263002944,0.0015947006869479882,0.00036800785083415113,0.0015947006869479882,0.0,0.0,25,0,15,2,0,0,15,0,0,0,1,0,0,0,0,15,Super Mario Maker 2 Wallpaper,,,
0,0,0,0,0,0,0,0,0,0,0,18,0.37071503897768865,52.740915657295254,0.1153388060627365,3.846589145224094,3.270874645044318,251,21,64,0,0,2,0.088919045971812,0.013945993999333259,0.001166796310701189,0.00011112345816201801,0.0035559506611845763,0.0,0.0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,7,Speed Racer,,,
0,0,0,0,0,1,0,1,0,0,0,7,0.15593976575571666,57.05035971223022,0.05179401375720394,6.893908560575227,2.7633752399137292,2,4,2,0,0,0,0.012617012617012617,0.0014388489208633094,0.0028776978417266188,0.0,0.0014388489208633094,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_appName__,,,
