All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_object_tags
0,0,0,0,0,1,0,0,0,0,0,0,0.4057264598599051,40.88328075709779,0.1226637399528713,3.563799198680179,3.2636821578503876,65,6,8,0,0,0,0.05769502710346453,0.014646237043713385,0.0013519603424966202,0.0,0.0018026137899954935,0.0,0.0,13,1,0,6,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
0,0,1,0,1,1,0,0,0,0,0,17,0.3088125347459631,29.03377470734984,0.13323918641728383,7.018883902108561,3.6368988713312547,355,0,121,0,0,0,0.07604369548649335,0.06812511993859144,0.0,0.0,0.023220111303012856,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bookmark Favicon Changer,
0,0,0,0,0,1,0,0,0,0,0,0,0.40895727944487115,44.23240491165019,0.1297507746907858,3.2676731500358147,3.2217655665861953,65,6,8,0,0,0,0.05399746542509229,0.01946690625935909,0.0017969451931716084,0.0,0.002395926924228811,0.0,0.0,13,1,0,5,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
0,0,0,0,0,1,0,0,0,0,0,49,0.3791743156913467,42.0622478578335,0.09185178532300886,5.594267226396428,2.820215893394627,224,11,27,0,0,1,0.12337228268135511,0.007468409295502284,0.00036675224218984427,3.334111292634948e-05,0.000900210049011436,0.0,0.0,13,1,0,5,0,1,3,0,0,0,0,0,0,0,0,3,__MSG_appName__,
0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_appName__,
0,0,0,0,0,1,1,0,0,0,0,7,0.3821398037698978,43.774699234414875,0.11582054309327036,3.8234552332912988,3.30867525159713,72,9,11,0,0,0,0.07504954062331111,0.013124316441851986,0.0016405395552314983,0.0,0.002005103900838498,0.0,0.0,13,1,0,5,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
0,1,0,0,0,1,0,0,0,0,0,79,0.45197882144136614,43.162873767481116,0.08800094313544625,3.988587842242503,2.8331579794260815,2167,48,145,0,0,3,0.047203661451542804,0.012879413740022466,0.00028528466060040534,1.7830291287525334e-05,0.0008617974122303912,0.0,0.0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_name__,
0,0,1,0,0,1,0,0,0,0,0,14,0.5096915357864716,38.48953400590214,0.08733591820632292,3.5259822116394703,2.95292430511722,123,5,21,0,0,2,0.037204986343581485,0.0084414247477867,0.00034314734747100404,0.00013725893898840162,0.001441218859378217,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Internxt VPN - Free, Encrypted & Unlimited VPN",
0,0,0,0,1,1,0,0,0,0,0,9,0.1089498940599729,163.0812873780296,0.03205696942142709,7.855035049097703,2.8594080318688224,68,6,8,0,0,0,0.019883483474784927,0.0017836533417269962,0.00015738117721120554,0.0,0.00020984156961494072,0.0,0.0,0,0,0,13,0,0,2,0,1,0,0,0,0,0,0,2,Rewards Search Automator,
0,0,1,0,1,1,1,0,0,0,1,152,0.4452890028264798,46.30823903910096,0.09531138882982701,4.04053655418804,3.0234237973961307,695,92,191,0,2,12,0.06715804366945814,0.004478439054566075,0.0005928293424749336,7.732556640977395e-05,0.0012307652653555687,1.2887594401628992e-05,0.0,15,0,0,2,0,2,7,0,0,0,0,0,0,0,0,7,__MSG_name__,
