All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_external_form_actions,num_embed_tags,num_object_tags
0,0,0,0,0,1,0,0,0,0,0,11,0.1759022856411993,64.32180224537872,0.0756864347499682,7.571165755117466,3.678515018720781,325,46,15,0,0,7,0.0454016419478017,0.0022991433038335,0.000325417206081,4.952000962103044e-05,0.0001061143063307,0.0,0.0,219,0,0,6,0,0,3,0,0,0,3,0,0,0,0,3,__MSG_8969005060131950570__,,,
0,0,1,1,1,1,0,0,0,0,1,7,0.5167548013413271,43.33064254567732,0.0642422518036784,5.338048681358382,2.968782910331072,190,45,62,0,0,0,0.0570470556358381,0.0068470935889581,0.0016216800605427,0.0,0.002234314750081,0.0,0.0,29,0,0,7,0,1,4,3,0,0,0,0,0,0,0,4,__MSG_extName__,,,
0,0,0,0,1,1,0,1,0,0,0,79,0.3787016254441189,38.370793888836815,0.0805408560792981,4.284979676718026,2.6330933512886947,130,9,78,0,0,1,0.0258625578977219,0.0024369669134876,0.0001687130940106,1.8745899334520572e-05,0.0014621801480926,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_extensionName__,,,
1,1,1,0,0,1,0,1,0,0,1,454,0.5050446522488317,56.903921128035726,0.0824251289966601,4.165843106566409,2.729570269456921,8007,134,251,0,3,3,0.0504448009715217,0.0131327528264039,0.0002197813012037,4.920476892620433e-06,0.0004116799000159,4.920476892620433e-06,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,__MSG_Honey_Title__,,,
0,0,1,1,1,1,0,0,0,0,1,60,0.3445022830191467,33.80772791456652,0.088873723987754,5.44760639776248,3.278132685378367,262,4,73,0,1,2,0.0736029396706328,0.0024500406781562,3.740520119322592e-05,1.870260059661296e-05,0.0006826449217763,9.35130029830648e-06,0.0,6,0,0,52,2,0,226,0,0,0,0,0,0,0,0,226,uBlock Origin,,,
0,0,1,1,1,1,1,1,0,0,0,69,0.5966045198263553,57.22101603997633,0.0726790929464314,3.893454145054591,2.523250650570028,667,43,108,0,5,2,0.0505368080707644,0.0049970407329991,0.0003221480532518,1.4983630383805692e-05,0.0008091160407255,3.745907595951424e-05,0.0,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,__MSG_extName__,,,
0,1,0,0,1,1,0,1,0,0,1,210,0.4485181096174763,40.76160317712151,0.0886663203155652,3.812029978786877,2.859925665605405,1859,53,498,0,0,16,0.047096606355334,0.0006672845360129,1.9024249816398043e-05,5.7431697558937485e-06,0.0001787561586521,0.0,0.0,480,15,0,0,0,0,24,0,0,0,0,0,0,0,0,24,__MSG_appName__,,,
0,0,1,0,1,1,0,1,0,0,1,254,0.4301161629577856,45.00315262892776,0.0825178590611997,4.566297807035257,3.117622149259589,1677,55,337,0,2,12,0.052352489802512,0.0145646245505549,0.0004776710496604,0.0001042191381077,0.002926820795192,1.7369856351287976e-05,0.0,90,0,0,0,5,4,67,0,0,0,0,0,0,0,0,67,__MSG_web2pdfExtnName__,,,
0,0,1,0,1,1,0,0,0,0,0,19,0.3868186055640057,39.450737170399776,0.0953005950920675,4.652975632200181,3.282977663885907,542,104,92,0,0,2,0.064007503229574,0.038417918911256,0.0073717039977317,0.0001417635384179,0.0065211227672242,0.0,0.0,14,1,0,13,0,7,2,0,1,0,0,0,0,0,0,2,VT4Browsers + Google TI,,,
0,0,0,0,0,1,0,0,0,0,1,48,0.4688214229589578,16.588284131871827,0.0770897405484924,6.706332000149516,3.166501699459275,43,0,7,0,0,6,0.0428456621687287,0.0004519037760238,0.0,6.305634084054103e-05,7.35657309806312e-05,0.0,0.0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,Dark Reader,,,
