All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_external_form_actions
0,1,0,0,0,1,0,0,0,0,0,8,0.4318568961302177,18.670441324749863,0.07932777615671553,5.434289368353741,3.395753222437607,181,10,73,0,0,0,0.0825616370224759,0.007019312805398278,0.000387807337314822,0.0,0.0028309935623982005,0.0,0.0,53,0,1,1,0,0,5,0,0,0,0,0,0,0,0,5,__MSG_app_name__,
0,0,1,0,1,1,0,1,0,0,0,362,0.42258816536598764,53.59559127245841,0.060312457645335084,8.317329133822227,2.9578893669519486,1485,98,166,0,1,14,0.07291644317429258,0.001694435633125589,0.00011182134144532507,1.5974477349332154e-05,0.0001894116599992241,1.1410340963808681e-06,0.0,12,0,1,0,0,0,9,0,0,0,0,0,0,0,0,9,FCM Extension,
0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bible,
0,0,0,0,1,1,1,0,0,0,1,2662,0.4772711686658832,61.13903973187061,0.07933945069532221,4.253035749459722,2.774208036012522,5632,3286,1574,0,0,118,0.05014031661243398,0.0009307844734837154,0.0005430677876185172,1.9501521283927277e-05,0.00026013046187204687,0.0,0.0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,Coin98 Wallet Extension: Crypto & Defi,
0,0,1,0,1,1,0,0,0,0,1,377,0.5170312949984387,57.42417494391344,0.053678987053591795,4.957249088911408,2.642548660672434,1263,77,317,0,0,17,0.03184525858344111,0.0011655667764557357,7.105989056776852e-05,1.5688547268208635e-05,0.00029254526376600807,0.0,0.0,85,14,0,0,0,0,8,0,0,0,0,0,0,0,0,8,SolvelyAI - AI Homework Tutor &  Study Helper,
0,0,0,0,1,1,1,1,0,0,0,61,0.4261437654258106,43.02680774219803,0.08595473022246673,4.449860231414316,2.770471053941447,1145,20,114,0,0,0,0.034413345442679155,0.00970742087816127,0.0001695619367364414,0.0,0.000966503039397716,0.0,0.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,SignalHire - find email or phone number,
0,0,1,0,1,1,0,0,0,0,0,1,0.4097456252028258,26.04974116587891,0.09901229020528055,5.303135552339604,3.3776905049337045,19,5,23,0,0,0,0.06454413892908828,0.0042763898266936756,0.0011253657438667567,0.0,0.005176682421787081,0.0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,AdLock: Free Adblocker & Privacy Protection,
0,0,1,0,1,1,0,0,0,0,1,31,0.42117056479836246,80.7934145686578,0.05863280351067193,6.582523450002217,2.9782264521666817,318,180,49,0,0,0,0.047882210514576556,0.001255646460498468,0.0007107432795274347,0.0,0.00019348011498246834,0.0,0.0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,zkPass TransGate,
0,0,0,0,0,0,0,1,0,0,0,31,0.45985164131901873,25.252688228007536,0.09406398741314419,5.998876764114425,3.2704206936841973,118,17,8,0,0,68,0.04428931174626947,0.0012283094090582614,0.00017695983011856308,0.0007078393204742523,8.327521417344145e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e-Filing - CompuOffice Online,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_appName__,
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sudoku,
0,0,0,0,0,1,0,1,0,0,0,129,0.2766494141006231,55.32821885845183,0.07832503634290669,6.2000564385273575,3.068485604713079,633,26,224,0,0,6,0.04206685949830181,0.002074410038440489,8.5204835702137e-05,1.9662654392800848e-05,0.000734072430664565,0.0,0.0,5,1,6,0,0,0,5,0,0,0,0,0,0,0,0,5,Read AI,
0,0,0,0,1,1,0,0,0,0,0,15,0.4673088666942458,37.127835361273846,0.11550932765990977,3.233332146798135,3.069292340229168,1,0,1,0,0,0,0.05766561065033994,0.0001502178158329578,0.0,0.0,0.0001502178158329578,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Tab Manager by Workona,
0,0,0,0,1,1,0,0,0,0,0,3,0.37277726103846365,32.46086956521739,0.10034469551895825,4.720528729430806,3.656450485848371,111,0,73,0,0,0,0.030617750202319934,0.05080091533180778,0.0,0.0,0.033409610983981694,0.0,0.0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_extName__,
0,0,0,0,1,1,0,0,0,0,0,90,0.3524364793297335,39.26890801506186,0.08624124649058125,5.869859197449882,2.857974358450968,411,9,94,0,0,5,0.07056110138094382,0.0031583800814570045,6.916160762314609e-05,3.842311534619227e-05,0.0007223545685084146,0.0,0.0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Knowt: Quizlet Import, AI Notes & Flashcards",
0,0,0,0,0,1,0,0,0,0,0,36,0.507909334232924,50.87060984722684,0.06758454520952997,6.781273305987641,2.8455430965245085,629,48,58,0,0,4,0.08770709034732581,0.006528146795084689,0.0004981733643307871,4.1514447027565595e-05,0.0006019594818997011,0.0,0.0,41,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,__MSG_name__,
0,1,0,0,0,1,0,0,0,0,1,6,0.11721548807419849,94.49100736184884,0.05494817563195867,7.095500629384959,4.010224983567159,32,2,19,0,0,0,0.04645739210195061,0.0029820147236976984,0.00018637592023110615,0.0,0.0017705712421955083,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_extName__,
0,0,0,0,0,1,0,0,0,0,0,28,0.36837716815070254,14.244939588890633,0.079890884759895,6.197842177894869,3.2737910439682514,43,15,17,0,0,0,0.045790992347258815,0.006747214812490193,0.002353679585752393,0.0,0.0026675035305193787,0.0,0.0,11,0,0,1,0,0,6,0,0,0,0,0,0,0,0,6,__MSG_AppName__,
0,0,0,0,1,1,0,0,0,0,0,81,0.4249868300951884,42.66503869181677,0.09219999710233118,4.212132384611409,3.006051676357938,283,62,97,0,0,12,0.055527798356390955,0.001432280463795695,0.0003137858259905763,6.073274051430509e-05,0.0004909229858239662,0.0,0.0,0,2,0,0,3,0,10,0,0,0,0,0,0,0,0,10,__MSG_extension_name__,
1,1,0,0,1,1,0,0,0,0,1,2,0.35115718090533776,38.6099481865285,0.0691796913835415,5.830330840697938,3.3027765638830147,82,4,6,0,0,0,0.08401314298663042,0.01699481865284974,0.0008290155440414508,0.0,0.001243523316062176,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Joplin Web Clipper,
0,0,0,0,0,1,0,0,0,0,0,53,0.3356275164194768,40.1795521757499,0.09974364949895129,5.807945774497799,2.97223209727627,1021,16,182,0,0,5,0.07363652699365224,0.015405274910978333,0.0002414146900838916,7.544209065121612e-05,0.002746092099704267,0.0,0.0,26,0,0,21,0,0,9,0,0,0,0,0,0,0,0,8,Grepper,
0,1,0,0,0,1,0,0,0,0,0,103,0.34035352862462404,45.52773660808808,0.07214347238131884,4.807559999811507,2.9331106558572464,1488,441,644,0,0,2,0.0314147844813368,0.017502999505963724,0.005187380901969087,2.352553697038135e-05,0.007575222904462794,0.0,0.0,6,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,Superpower ChatGPT,
0,0,0,0,1,1,0,0,0,0,1,19,0.3790314300004306,29.965948717948717,0.11441195857029768,4.20036656208257,3.3385194285442403,133,19,14,0,0,0,0.060016774874965054,0.013641025641025642,0.0019487179487179488,0.0,0.001435897435897436,0.0,0.0,22,0,0,4,0,2,12,0,0,0,0,0,0,0,0,12,__MSG_name__,
1,0,0,0,1,1,0,1,0,0,1,74,0.5553677513830645,53.165060317865574,0.08075352463433834,4.001912268046727,2.936195103695767,450,88,130,0,0,0,0.07023591094156206,0.009574264377353673,0.0018723005893491627,0.0,0.0027658985979021724,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,__MSG_extension_name__,
0,0,0,0,0,1,0,0,0,0,0,43,0.3847467547774199,46.3553769777167,0.09070748221005032,4.541515754640316,2.6421978034822007,1856,9,39,0,0,0,0.025242356957362537,0.008445538562347277,4.0953581390692614e-05,0.0,0.000177465519359668,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__MSG_name__,
