All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_external_form_actions,num_embed_tags,num_object_tags,label
0,0,0,0,0,1,0,0,0,0,0,107,0.3976804079921489,56.24260912581565,0.0733952111470602,4.602266907256095,2.781455378679528,410,36,57,0,0,2,0.0444187441611222,0.0013797420218941,0.0001211480799711,6.7304488872885375e-06,0.0001918177932877,0.0,0.0,91,0,0,0,0,17,110,1,2,0,0,0,0,0,0,110,Chrome MySQL Admin,,1.0,,0
1,1,0,0,0,1,1,1,0,0,0,16,0.4425895541497928,33.824493031243804,0.1041588027200561,3.790994006803088,3.043296964604842,58,3,34,0,2,0,0.0416464193798031,0.0038311645419116,0.0001981636832023,0.0,0.002245855076293,0.0001321091221348,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Truffle,,,,0
0,0,0,0,1,1,0,0,0,0,0,95,0.3821489801301213,54.37055442866802,0.0914298937147099,5.403886793734923,3.017417302466757,133,9,89,0,0,0,0.061910100907145,0.0044962812711291,0.0003042596348884,0.0,0.0030087897227856,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_name__,,,,0
1,1,1,0,1,1,0,0,0,0,0,17,0.5167443067458258,50.72614175806188,0.0885571603984961,3.766408378445317,2.9708076518116124,247,56,91,0,1,1,0.0522237554399745,0.0404321492879358,0.0091668030774267,0.0001636929120969,0.0148960550008184,0.0001636929120969,0.0,0,1,3,4,0,0,4,0,0,0,0,0,0,0,0,4,教えてURL,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desmos Graphing Calculator,,,,0
0,0,0,0,1,1,0,1,0,0,0,52,0.4122943453118522,55.22290110884816,0.0851667576119475,5.316912286284415,2.7837733450637887,73,12,51,0,0,2,0.0610038251692156,0.002359939223483,0.0003879352148191,6.465586913652086e-05,0.0016487246629812,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_name__,,,,0
0,0,0,0,0,1,0,0,0,0,0,13,0.5146144077131416,49.67000451430213,0.0843284694234582,3.5029756872823183,2.654178655544754,40,6,51,0,0,0,0.0358773205288607,0.0016415644108835,0.0002462346616325,0.0,0.0020929946238765,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,LocatorJS,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0.2413793103448276,31.010309278350515,0.0821785368997744,6.033333333333333,3.9866254088365,0,0,1,0,0,0,0.0272727272727272,0.0,0.0,0.0,0.0103092783505154,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Picture-in-Picture Viewer,,,,0
0,0,0,0,0,1,0,0,0,0,0,273,0.545247891440892,53.837069384676205,0.0850661204327189,3.620071838435709,2.343754694616768,302,78,206,0,0,3,0.0599905568161642,0.0013723342860908,0.0003544439546857,1.3632459795603986e-05,0.0009360955726314,0.0,0.0,514,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_name__,,,,0
0,0,0,0,0,1,0,0,0,0,0,36,0.507909334232924,50.87060984722684,0.0675845452095299,6.781273305987641,2.8455430965245085,629,48,58,0,0,4,0.0877070903473258,0.0065281467950846,0.0004981733643307,4.15144470275656e-05,0.0006019594818997,0.0,0.0,41,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,__MSG_name__,,,,0
